left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee,left_ankle_pitch,left_ankle_roll,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee,right_ankle_pitch,right_ankle_roll
0.0560250700000001,-0.0051572144460736,0.0272271350000000,0.0570722649999999,-0.0307818793136183,0.0028962350824701,-0.0560250700000000,-0.0126986695693275,0.0272271350000001,-0.0000000000000001,-0.0194673522613532,0.0059179904935227
0.0875336984450829,-0.0099578743535730,0.0512319689368641,0.1827582554784297,-0.1878615193136183,0.0077953230384573,-0.2801253499999997,0.0112579711591397,0.1361356750000002,0.0494623694638184,0.1376122877386469,-0.0017512933864312
0.0305132666823309,-0.0122169150930871,0.0035839992019707,0.2624772222420786,-0.2777025112762258,0.0118651430138199,-0.4714795584776262,0.0304977074042032,0.2450442150000001,0.2777514294638184,0.0617886689204374,-0.0035910782375856
-0.0318246995670690,-0.0163109527101733,-0.0476097846057809,0.3318310762431905,-0.3038980738253911,0.0149753707361636,-0.4825571319194983,0.0360175711436969,0.3105462817464517,0.3294623627136657,0.0140369378325781,0.0139441573361390
-0.1095440164439476,-0.0236309391188841,-0.1102303298053239,0.4144670040180251,-0.3318606399744240,0.0174483419579707,-0.4378327646745295,0.0244275255980883,0.2808766207310248,0.2956844342744054,0.0118195059416544,0.0158122001188373
-0.1980252584674869,-0.0354613082870741,-0.1798054270238229,0.5040400623752556,-0.3478084868835236,0.0188617935935109,-0.3907770910612053,0.0139574506817095,0.2498681753094915,0.2652652872371172,0.0056651357074245,0.0174383643399783
-0.2895442438271157,-0.0516018576176479,-0.2492728236117782,0.5905772754060474,-0.3489874054302202,0.0186005170532930,-0.3420655580669864,0.0048415968007079,0.2178979181573513,0.2382376076122402,-0.0039687516344231,0.0187220214150554
-0.3793666186176564,-0.0712069121871795,-0.3145830763653504,0.6714022972977710,-0.3490610878393888,0.0170394065009948,-0.2922088815107674,-0.0027820430685366,0.1851921758786875,0.2142641032439310,-0.0163938615513075,0.0195819832461708
-0.4622966700845651,-0.0922735648434984,-0.3717175436341771,0.7407176957583164,-0.3490656929899618,0.0145775366746690,-0.2418044428697328,-0.0088107606454992,0.1520718893937039,0.1930679167300502,-0.0309875627324566,0.0199664309695137
-0.5348385334435549,-0.1124415214035180,-0.4184620240836821,0.7942577162456431,-0.3490659808118726,0.0116641389597321,-0.1915338529941716,-0.0131885859375195,0.1189504629203667,0.1744406738135729,-0.0471927726385453,0.0198522178011279
-0.5953693400277120,-0.1297194457234342,-0.4543397535386456,0.8301158477188432,-0.3490659988007420,0.0087038219043451,-0.1421519329442039,-0.0159160298631041,0.0863231618358574,0.1582451059998832,-0.0645137318572718,0.0192419727844529
-0.6433256773732740,-0.1426945809658448,-0.4797609735116997,0.8476869101482798,-0.3459210837708766,0.0059856770712385,-0.0944716346230857,-0.0170564648415400,0.0547521772065117,0.1444180509879906,-0.0825123061139264,0.0181596302059600
-0.6773332858454162,-0.1498575406396812,-0.4945905135244951,0.8412338040720604,-0.3118859117682076,0.0031853727495016,-0.0493490831115405,-0.0167383490391533,0.0248512927491338,0.1329767390242878,-0.1008067836223736,0.0166449956659402
-0.6991592328519466,-0.1516888329904853,-0.5007475828906751,0.8177541401319972,-0.2714130818281368,0.0007917428048742,-0.0076731883850687,-0.0151530257848559,-0.0027255834351555,0.1240306783858065,-0.1190744289966147,0.0147478656765924
-0.7098632864869180,-0.1487310921673608,-0.4994660274918542,0.7809684223236670,-0.2278042664174831,-0.0010266563691462,0.0296359017986803,-0.0125481814629064,-0.0272878778147512,0.1178014005988052,-0.1370588412565316,0.0125221640864071
-0.7103901144865864,-0.1416878746226356,-0.4917885642703430,0.7340487569097743,-0.1832300851382933,-0.0023679650804471,0.0616158582220238,-0.0092170671750841,-0.0481002272283021,0.1146525911131219,-0.1545832616036533,0.0100205497726394
-0.7018536152211378,-0.1314589164207803,-0.4787833981384959,0.6803817301685676,-0.1398613826580417,-0.0034114495382354,0.0872360409543356,-0.0054830807610845,-0.0643601217337696,0.1151334353455743,-0.1715712081079120,0.0072900004590733
-0.6854951399744155,-0.1190053900479062,-0.4615221586756775,0.6233272708742090,-0.0997472469571860,-0.0043660408395945,0.1053548694613059,-0.0016780165175958,-0.0751600563909845,0.1200377521513186,-0.1880758526936278,0.0043690220856859
-0.6625800878602539,-0.1052190971445145,-0.4410041489838750,0.5658964679615169,-0.0646152305627108,-0.0054194069708855,0.1146620808150949,0.0018901030409225,-0.0794357057349693,0.1304791654639687,-0.2043186048997174,0.0012874350981388
