left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee,left_ankle_pitch,left_ankle_roll,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee,right_ankle_pitch,right_ankle_roll
-0.6719949323217250,-0.0704432457100040,-0.2153861892047981,0.6420189205693778,-0.0003409016039167,-0.0013755418214648,-0.2563373557668440,0.0100328193290257,0.0869656895586216,0.7758194557249239,-0.5240000000000000,0.0004883169326384
-0.6719639398259738,-0.0704367614777952,-0.2153776213150845,0.6476679406502662,-0.0060204164051825,-0.0013754879740621,-0.2563491822840974,0.0100337692196462,0.0869696296335456,0.7758316883930226,-0.5240000000000000,0.0004883372437340
-0.6715839502727986,-0.0703573716558282,-0.2152726715409206,0.6631784968392204,-0.0219048306973503,-0.0013748282957181,-0.2564319280587287,0.0100404164972387,0.0869971965940060,0.7759172750056138,-0.5240000000000000,0.0004884793654502
-0.6701778625462346,-0.0700640290068179,-0.2148841443582007,0.6859320928583335,-0.0460416644257118,-0.0013723858361754,-0.2566563098891229,0.0100584528808434,0.0870719474120628,0.7761493528567577,-0.5240000000000000,0.0004888648670077
-0.6669820807538758,-0.0693995114221430,-0.2139996764830258,0.7131456263861774,-0.0763981678160124,-0.0013668248043740,-0.2570926299490920,0.0100935712122143,0.0872172929102648,0.7766006068262742,-0.5240000000000000,0.0004896149508761
-0.6613651077150001,-0.0682388374698677,-0.2124402413478471,0.7422788877091258,-0.1110526558681822,-0.0013570174824059,-0.2578105522285000,0.0101514866996943,0.0874564141036546,0.7773430111950067,-0.5240000000000000,0.0004908504614464
-0.6529381108494556,-0.0665149420855050,-0.2100890430827018,0.7712387216225093,-0.1482888956387464,-0.0013422249245510,-0.2588788671783080,0.0102379719359899,0.0878121710360086,0.7784475488092242,-0.5240000000000000,0.0004926920193605
-0.6415860661707129,-0.0642258343537195,-0.2068999402715449,0.7984371280327485,-0.1866234042127388,-0.0013221495826085,-0.2603652432472459,0.0103589045818616,0.0883070037224289,0.7799839064533872,-0.5240000000000000,0.0004952602670158
-0.6274541768670614,-0.0614295824688508,-0.2028955369402963,0.8227717203637344,-0.2248002874760939,-0.0012969239788926,-0.2623359627805306,0.0105203261751123,0.0889628243790318,0.7820201439963993,-0.5240000000000000,0.0004986762042155
-0.6109131606699891,-0.0582322598038553,-0.1981611253789845,0.8435742294569848,-0.2617759447398912,-0.0012670742931318,-0.2648556383624676,0.0107285100468303,0.0898008996250990,0.7846223333914020,-0.5240000000000000,0.0005030615857008
-0.5925157015298234,-0.0547724435640474,-0.1928369327273342,0.8605494149725318,-0.2967033965537231,-0.0012334739392967,-0.2679869042484723,0.0109900358030184,0.0908417208357285,0.7878541620888502,-0.5240000000000000,0.0005085393447314
-0.5729496426008098,-0.0512048728729270,-0.1871090652791478,0.8737124901874509,-0.3289181969683777,-0.0011972890726038,-0.2717900762032549,0.0113118672572573,0.0921048603697881,0.7917764940657409,-0.5240000000000000,0.0005152339993047
-0.5529905166036362,-0.0476853049400490,-0.1811988844815703,0.8833266809070194,-0.3579243856807066,-0.0011599137558202,-0.2763227720140235,0.0117014300770410,0.0936088110731968,0.7964468806973236,-0.5240000000000000,0.0005232719904065
-0.5334549793124210,-0.0443581359977218,-0.1753506703845105,0.8898405312873631,-0.3833781396989280,-0.0011228933630544,-0.2816394843789857,0.0121666847361008,0.0953708063466182,0.8019190133539315,-0.5240000000000000,0.0005327818953261
-0.5151564087297594,-0.0413477943229765,-0.1698178388228920,0.8938246308312598,-0.4050674251888665,-0.0010878375957343,-0.2877910979842736,0.0127161896588200,0.0974066182575389,0.8082421101412808,-0.5240000000000000,0.0005438944541212
-0.4988637977897183,-0.0387542524807717,-0.1648483775308147,0.8959082698223763,-0.4228871979803571,-0.0010563272856791,-0.2948243435806350,0.0133591487270971,0.0997303317580258,0.8154602308647926,-0.5240000000000000,0.0005567423443361
-0.4852441960678250,-0.0366491722232950,-0.1606640171697930,0.8967181969094890,-0.4368316972477605,-0.0010297803660889,-0.3027811839336854,0.0141054366401471,0.1023540941190785,0.8236115172891796,-0.5240000000000000,0.0005714596388762
-0.4729113649382073,-0.0347925996005167,-0.1568519482812282,0.8967893946461987,-0.4487812695863372,-0.0010055832437817,-0.3116981297802904,0.0149655950440416,0.1052878402673119,0.8327273602151148,-0.5240000000000000,0.0005881808851027
-0.4607756738595324,-0.0330118785005931,-0.1530800092260081,0.8962940376075033,-0.4599605494616533,-0.0009816275528026,-0.3216054884312604,0.0159507919767189,0.1085389968297126,0.8428315008215826,-0.5240000000000000,0.0006070397506668
-0.4488971266264488,-0.0313133550720796,-0.1493685332757917,0.8953038843907574,-0.4703846184276320,-0.0009580428461042,-0.3325265533515382,0.0170727371273061,0.1121121703232113,0.8539390809768090,-0.5240000000000000,0.0006281671937959
-0.4373299409628805,-0.0297017267527108,-0.1457363307547547,0.8938898237875600,-0.4800734538984157,-0.0009349491359664,-0.3444767497102563,0.0183435458250836,0.1160088279628669,0.8660556654582113,-0.5240000000000000,0.0006516891332653
-0.4261221423155169,-0.0281801403001366,-0.1422004748913750,0.8921208059904321,-0.4890511931567604,-0.0009124554831717,-0.3574627581326365,0.0197755456955964,0.1202269828154414,0.8791762676653276,-0.5240000000000000,0.0006777236160976
-0.4153152965840381,-0.0267503175614481,-0.1387761354676701,0.8900629051592914,-0.4973453969800310,-0.0008906588932689,-0.3714816461350550,0.0213810216735189,0.1247608982155530,0.8932844186678793,-0.5240000000000000,0.0007063775087318
-0.4049443771564738,-0.0254127007994557,-0.1354764617432208,0.8877785244020703,-0.5049863305879201,-0.0008696435321525,-0.3865200432626164,0.0231718976229077,0.1296008291323048,0.9083513263421525,-0.5240000000000000,0.0007377427689649
-0.3950377589474396,-0.0241666098468609,-0.1323125144498365,0.8853257498558269,-0.5120062772715595,-0.0008494802617712,-0.4025534009668710,0.0251593561895211,0.1347328201172582,0.9243351758790662,-0.5240000000000000,0.0007718923897311
-0.3856173298671556,-0.0230104041229131,-0.1292932451283341,0.8827578561936359,-0.5184388973345803,-0.0008302264862757,-0.4195453809720521,0.0273534026014134,0.1401385801708507,0.9411806241485577,-0.5240000000000000,0.0008088761394192
-0.3765348993132238,-0.0219225262803568,-0.1263727628478929,0.8797230063874232,-0.5240000000000000,-0.0008110990531719,-0.4374473054443447,0.0297623396957219,0.1457954225565654,0.9588182741791065,-0.5240000000000000,0.0008487208411656
-0.3653345915340314,-0.0206212187457890,-0.1227587342941342,0.8702876329393755,-0.5240000000000000,-0.0007797945334949,-0.4561963055448763,0.0323916633635977,0.1516758985262530,0.9771611099201268,-0.5240000000000000,0.0008914847603938
