time,left_hip_pitch_joint,left_hip_roll_joint,left_hip_yaw_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_pitch_joint,right_hip_roll_joint,right_hip_yaw_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,waist_yaw_joint,waist_roll_joint,waist_pitch_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint,right_wrist_roll_joint,right_wrist_pitch_joint,right_wrist_yaw_joint
0.095,-17.33919,-0.54181266,-0.6470851,-23.273088,9.265788,0.3249014,-2.18789,-0.42752087,-0.0070971847,-19.815067,9.439167,-1.7097952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-24.098883,1.4714358,0.642388,-22.514019,13.262037,0.7058153,-9.865673,2.664137,-2.2768114,-23.21407,11.480333,-1.7018095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.105,-19.591413,1.0085237,-0.61166644,-21.271122,13.434568,0.9743695,-4.850124,2.7666118,-2.1999147,-23.780262,11.492876,-1.8822242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,-16.434591,0.7014435,-1.3469216,-19.876308,13.542144,1.2101612,-1.3095813,2.8764522,-2.1066625,-23.802418,11.513879,-2.0447843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.115,-12.477743,0.36856633,-1.5701331,-17.819714,13.551162,1.4160979,2.7938428,2.8802426,-1.9203203,-22.662022,11.521708,-2.1928713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-19.615986,-2.3341663,0.799909,-20.034952,15.297806,1.2765529,-6.161389,2.9735386,-2.9594736,-22.616611,12.025002,-2.0122128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.125,-15.078136,-2.5291274,0.12717557,-17.043337,14.975718,1.4760706,-1.3405423,3.3562038,-2.577857,-20.835773,11.799734,-2.135372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,-11.370335,-2.622846,-0.1552307,-13.908747,14.474541,1.6462696,2.531467,3.6322255,-2.2880888,-18.651707,11.492583,-2.233215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.135,-7.423786,-2.7319915,-0.073136665,-10.248682,13.806796,1.7898266,6.4389224,3.7485611,-2.0054598,-15.730458,11.106162,-2.309202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-16.486422,-4.562096,2.6914892,-15.1892605,13.5490465,1.1375616,-2.7625537,2.3211741,-2.7659006,-14.767636,10.697203,-2.1469436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.145,-11.826494,-4.263173,2.509402,-5.6294303,9.994336,-1.755409,2.184651,2.6137924,-2.1883745,-11.28185,10.008296,-2.1956673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-8.370928,-5.1650653,2.110062,1.2437996,0.2830727,-0.12754482,5.456944,2.254118,-1.4105741,-7.7765245,9.212633,-2.2220926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.155,-4.3583093,-6.144195,2.0392451,4.1126695,-1.399226,-0.40257066,8.583576,1.0831314,0.206211,-1.7935381,7.3847456,0.44274107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,-12.026575,-8.423774,8.289766,-13.51637,-0.07398772,-1.1445792,-0.7539649,-4.9422054,0.3740025,-5.721037,5.705103,-0.028902173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.165,-7.8745217,-8.948845,4.890885,-4.654851,-0.8267,-0.89052445,3.9684777,-4.291196,1.6314049,-0.91468596,4.112667,0.9403578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,-4.668345,-8.551156,2.9245098,1.5104092,-1.4412687,-0.34098274,7.2458825,-3.333039,2.081132,3.8241827,-0.32033896,0.35276246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17500000000000002,-2.1824288,-7.7675686,1.804586,5.4127607,-1.8788431,0.0831272,9.598375,-2.5066419,2.1589222,6.0030766,-0.7126901,0.6234522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-8.831259,-1.948225,1.3218665,-8.708486,-1.4168136,-0.6352694,4.662547,0.39408535,-2.3152297,-1.5411273,0.5416572,-0.114183724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.185,-6.0312095,-2.076787,-0.0026869774,-1.6240242,-1.952296,0.1936462,7.3184767,0.896666,-0.89784694,2.8433638,-0.43785882,0.5515507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-3.7158713,-1.8916836,-0.5291724,2.7619889,-1.4621875,0.23881602,9.182078,1.1873229,-0.13723823,5.828929,-0.22863984,0.73132557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195,-1.8841453,-1.580595,-0.6334462,5.401405,-0.83247447,0.2167337,10.398677,1.2931483,0.21799114,7.576457,0.373945,0.75924695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-3.0168786,-1.1182938,-3.27185,-9.281884,-2.3399327,-1.7638822,5.7707524,-0.9781941,-3.4853585,-2.4741025,0.5791614,-0.2714354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20500000000000002,-1.6862512,-0.46698278,-1.2908448,-2.1580648,-1.346267,0.40511274,6.861878,-0.24844398,-1.2446225,1.5307649,0.8103473,-0.089707226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-0.6743188,-0.08469623,-0.38663283,2.7390928,-0.4979279,0.4426484,7.416306,0.21393023,0.23638275,4.7906146,1.0001924,0.12800911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.215,0.06335211,0.16040999,0.025158495,5.842637,0.11920047,0.36063576,7.5547795,0.392388,1.0323596,6.8196673,1.2040718,0.36895064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,-2.403442,-0.6339589,-6.351232,-11.423531,-4.4302797,-2.1969519,4.4799185,-2.76881,-3.4754739,-5.059792,-0.037881136,-0.40321484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.225,-1.8855586,0.4752006,-1.2639369,-3.8490329,-1.2713518,0.52493334,4.5503836,-1.9014456,-0.28429368,-0.3693546,0.7426183,-0.19073704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,-1.5022426,0.83297056,0.6367085,2.0242143,0.19506073,0.560658,4.445983,-1.4842036,1.5815146,3.1310267,1.1997402,0.031556457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23500000000000001,-1.1440425,0.943283,1.2122813,5.9787774,0.93039227,0.459085,4.18225,-1.3158977,2.5249991,5.901565,1.6506374,0.28686723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
