time,cmd_vx,actual_vx
0.0,1.0,0.0
0.005,1.0,0.10549051314592361
0.01,1.0,0.15464109182357788
0.015,1.0,0.16628627479076385
0.02,1.0,0.1555982381105423
0.025,1.0,0.18463025987148285
0.03,1.0,0.1881023645401001
0.035,1.0,0.17685800790786743
0.04,1.0,0.15786288678646088
0.045,1.0,0.22803895175457
0.05,1.0,0.2609100937843323
0.055,1.0,0.26846158504486084
0.06,1.0,0.2600574195384979
0.065,1.0,0.3141600489616394
0.07,1.0,-0.20431235432624817
0.075,1.0,-0.282417356967926
0.08,1.0,-0.28349193930625916
0.085,1.0,-0.3050812780857086
0.09,1.0,-0.31315165758132935
0.095,1.0,-0.31635695695877075
0.1,1.0,-0.29615646600723267
0.105,1.0,-0.31279003620147705
0.11,1.0,-0.3597796559333801
0.115,1.0,-0.36893561482429504
0.12,1.0,-0.3780117928981781
0.125,1.0,-0.39282456040382385
0.13,1.0,-0.4211938679218292
0.135,1.0,-0.42815810441970825
0.14,1.0,-0.4281182885169983
0.145,1.0,-0.4091818332672119
0.15,1.0,-0.4052075445652008
0.155,1.0,-0.3698307275772095
0.16,1.0,-0.34201619029045105
0.165,1.0,-0.2679329514503479
0.17,1.0,-0.2095796763896942
0.17500000000000002,1.0,-0.16578924655914307
0.18,1.0,-0.1368144154548645
0.185,1.0,-0.0735967755317688
0.19,1.0,-0.02562117576599121
0.195,1.0,0.008384555578231812
0.2,1.0,0.03004935383796692
0.20500000000000002,1.0,0.06977906823158264
0.21,1.0,0.10008516907691956
0.215,1.0,0.12235528230667114
0.22,1.0,0.13809555768966675
0.225,1.0,0.17460039258003235
0.23,1.0,0.2071141004562378
0.23500000000000001,1.0,0.23716241121292114
